nombre_artista,album,fecha,tipo,track
Isla Iglú,Viaje Astral (David Kano Remix),2017-12-01,track,Viaje Astral - David Kano Remix
Hendrik Röver,Fetén/Fatal,2017-03-01,track,El Mañana
Faith No More,Exitos de los 90,2017-06-29,track,Midlife Crisis
Cesk Freixas,Proposta,2017-03-17,track,Pandora
Alex Ubago,Ñ: El disco del año (2017),2017-12-01,track,Míranos
Melange,Viento Bravo,2017-11-17,track,Oxi
Strombers,Poble Català,2017-12-13,track,Poble Català
Joseba Tapia,Besamotzak,2017-11-08,track,Real Politik
Feliu Ventura,Montserrat,2017-03-10,track,Montserrat
Astarot,Una Vida en un Segundo,2017-12-26,track,Vuelve
"Quico El Célio, El Noi I El Mut De Ferreries",No Tinc Diners,2017-03-31,track,Lo Port
Miquel Abras,La Vida en un Sospir,2017-03-24,track,La Reina del Ball
Autumn Comets,Realejo,2017-11-17,track,Nada Nuevo Bajo el Sol
Cesk Freixas,Proposta,2017-03-17,track,Els Carrers Pels Palaus
Molina Molina,Ñ: El disco del año (2017),2017-12-01,track,He vuelto a casa (feat. Iván Ferreiro)
Animal,La Melodia del Foc,2018-03-09,track,Si Em Mires
Roy Orbison,Tutto Il Divo,2018-08-31,track,Crying
Camilo Séptimo,Óleos,2018-07-27,track,Miénteme
Efecto Pasillo,Ñ: El disco del año (2018),2018-11-30,track,Salvajes irracionales
Sergio Dalma,Ñ: El disco del año (2018),2018-11-30,track,Este amor no se toca
Robbie Williams,First Dates (2018),2018-03-23,track,Love My Life
The Potes,Ametsak Dira Egi Erabat Bete Aurretik,2018-11-30,track,Zure Etsai Zure Lagun Min
Nat Simons,Lights,2018-02-23,track,Crazy for You
Álvaro Urquijo,Románticas en Español,2018-02-02,track,Ya No Puedo Vivir Sin Ti
Perlata,Urrezko Kaiola,2018-09-03,track,Urrezko Kaiola
Caboverde,La Peor Versión de Nosotros Mismos,2018-09-14,track,Rivales
Minor Empires,United States of Emergency Vol. 2,2018-02-19,track,Big Parade
Tregua,Kilómetro A Kilómetro,2018-11-16,track,Si Tu Ya Te Has Ido
Nyandú,Fernando Rogelio Estévez,2018-08-31,track,No Em Foteu Cabal
Miquel Abras,Punt de Partida,2018-09-28,track,Quan el Paisatge Ets Tu
Caboverde,La Peor Versión de Nosotros Mismos,2018-09-14,track,Tinta y Brea
Ochobre,Sobredosis de Grisú,2018-10-25,track,Nin un desahuciu más
The Potes,Ametsak Dira Egi Erabat Bete Aurretik,2018-11-30,track,Another Song
Koel,Brújula,2018-09-28,track,Quiero
Mikel Laboa,Gure oroitzapenak,2018-12-10,track,Sorterriko koblak
Egurra Ta Kitto,10 Urte,2018-12-10,track,Garai Onenak
Lluis Llach,Amors Particulars - Les Cançons d'Amor de Lluís Llach,2018-06-22,track,Torna Aviat
MARLENA,Lo Mejor de Factor X,2018-07-13,track,Leave a Light on
La Trinca,Marro!,2018-10-19,track,Les Alergries del Culé
Stai Zitto,Bidaia,2018-03-16,track,Gauzarik Ederrena
Eskean Kristö,Beste belaze batzuen gozoan,2018,track,Dirdira-dardara
Dinamita Pa Los Pollos,Salir De Marcha,2018-03-16,track,Paseando al caiman
Dixebra,Uviéu 17-09-2017 (En Directo 30 Aniversariu),2018-11-30,track,Nun Llores - En Directo 30 Aniversariu
The Potes,Ametsak Dira Egi Erabat Bete Aurretik,2018-11-30,track,Get Your Rights
Gotelé,Vertical,2018-03-16,track,Qué Te Voy a Decir
Quimi Portet,Central de biomassa,2018-02-16,track,Central de biomassa
Dixebra,Uviéu 17-09-2017 (En Directo 30 Aniversariu),2018-11-30,track,Nesti Mundu Traidor - En Directo 30 Aniversariu
Stai Zitto,Bidaia,2018-03-16,track,Bizitza Bakarrari
Tachenko,El Don del Vuelo Sin el Arte Hermano del Aterrizaje,2018-09-14,track,Los Santos Protectores
Xarim Aresté,Groc,2018-07-06,track,Sense vida
Chelsea Boots,Guilty Pleasure,2018-09-20,track,Let It Rain
Dakidarria,Filosofía incendiaria,2018-04-12,track,En Compostela
Gimnástica,Líquido,2018-10-19,track,La Bestia
Dakidarria,Filosofía incendiaria,2018-04-12,track,Lume
EraBatera,Antipodetan,2018-09-20,track,Paktua
Stai Zitto,Bidaia,2018-03-16,track,Cinco Sentidos
Duran Duran,Excursión a los 80s,2018-12-28,track,Notorious
Ñekü,36 Segundos,2018-02-16,track,Cada Amanecer
Los Gatos del Gitano,Informe de Daños,2018-03-30,track,Bostezos de España
Grises,De Peces y Árboles,2018-01-26,track,Señora Leño
ALIS,Mínimo (Re-Edición Décimo Aniversario),2018-02-09,track,En Común
Nyandú,Fernando Rogelio Estévez,2018-08-31,track,Copo de Vento
Caboverde,La Peor Versión de Nosotros Mismos,2018-09-14,track,Montepríncipe
The Potes,Ametsak Dira Egi Erabat Bete Aurretik,2018-11-30,track,Until the Last One Is Coming
Los Retrovisores,Desmelene en el Quinto,2018-12-14,track,Pedir Perdón
Mujeres,Romance Romántico,2019-03-15,track,La Huida
ENMA FERNÁNDEZ,HEY Chico!!,2019-10-22,track,Big City Lights
Xarim Aresté,El Nus i Altres Mons,2019-05-10,track,El Prat
Da Igual,Buenas Canciones Peores Intenciones (Editado),2019-04-12,track,Ojos Que No Ven Hostia Que Te Pegas
Efecto Pasillo,Carácter Latino 2019,2019-07-05,track,No te enamores
Kiko Veneno,Vidas Paralelas,2019-03-15,track,Vidas Paralelas
Skama la rede,15 Aniversariu,2019-12-20,track,Asturies borracha
Los Rebeldes,Corazón de Rock and Roll (Remasterizado) [Boxset],2019-11-15,track,Land of Thousand Dances - Remasterizado
Itaca Band,Vengo,2019-03-15,track,Vengo
Nixon,Vértigo,2019-03-29,track,Vértigo
Los Rebeldes,Corazón de Rock and Roll (Remasterizado) [Boxset],2019-11-15,track,Mediterraneo (Ensayos Básicamente) - Remasterizado
Qverno,Vol. I,2019-03-15,track,¡Es una Bruja!
Da Igual,Y Punto,2019-04-12,track,Te Olvidé
Xarim Aresté,El Nus i Altres Mons,2019-05-10,track,Arrencar el Vol.
Igor Paskual,La Pasión según Igor Paskual,2019-09-13,track,Waterloo
Vaquero,La Grandeza de Mis Pequeñas Cosas,2019-09-27,track,Estrellas Varadas
Alejandro Conde,Por un Poquito de Tu Amor,2019-06-21,track,Como Quieres Que Te Olvide
Barricada,El poder del directo (Live),2019-05-10,track,"En blanco y negro - Live, Anaitasuna 2013"
Urtz,Zabaldu ateak,2019-02-07,track,Aurpegi hori
La Vil Canalla,Surcando los Bares,2019-11-01,track,Buscando la Diversión
Dakidarria,Seguimos en Pé,2019-05-28,track,Seguimos en Pé
Vaquero,La Grandeza de Mis Pequeñas Cosas,2019-09-27,track,Salto al Vacío
Da Igual,Buenas Canciones Peores Intenciones (Editado),2019-04-12,track,Eres Tú
Juanes,GH VIP 2019,2019-10-24,track,Bonita
Tano!,Cants als Malsons,2019-01-25,track,John Travoltano
Lluis Llach,Altres Petjades (En directe),2019-05-24,track,Valset per a innocents - En directe
Qverno,Vol. I,2019-03-15,track,Zaldi eroak
Los Rebeldes,Corazón de Rock and Roll (Remasterizado) [Boxset],2019-11-15,track,Tequila - Remasterizado
Feliu Ventura,Convocatòria,2019-10-11,track,El Sol al cim
Durango14,Gigante Panamericana,2019-10-04,track,Adiós Lupita
Ruxe Ruxe,Alfaia Punk - EP,2019-04-10,track,Afundido No Lixo
Los Rebeldes,Corazón de Rock and Roll (Remasterizado) [Boxset],2019-11-15,track,Billy LaRocca - Remasterizado
La Vil Canalla,Surcando los Bares,2019-11-01,track,Falta de Voluntad
Xabi Bandini,Biba!,2019-11-29,track,Euforia
Loquillo,Poemas para la resistencia,2019-02-22,track,Que tinguem sort
Igor Paskual,La Pasión según Igor Paskual,2019-09-13,track,Nuestra señora de la consolación - Hazlo tú
Vaquero,La Grandeza de Mis Pequeñas Cosas,2019-09-27,track,Cosas por Decir
Ataque Escampe,A alma,2019-12-13,track,Tema d'A alma
Zona Oscura,Hacia el Lado Contrario,2019-11-06,track,Razón de Estado
Os Amigos dos Músicos,Segundo fogar,2019-04-12,track,Os atlantes
Miquel Gil,Geometries,2019-03-08,track,La que diu
Young Forest,Looking North,2019-10-11,track,Looking North
Igor Paskual,La Pasión según Igor Paskual,2019-09-13,track,El Gavilán
Los Rebeldes,Corazón de Rock and Roll (Remasterizado) [Boxset],2019-11-15,track,Prefiero Verte Muerta - Remasterizado
Melendi,Pop-Rock Asturiano,2019-07-12,track,El gordo y el narco
The Cardigans,Melodía FM Vol. 3 (Siente La Buena Música),2019-04-12,track,My Favourite Game
Wham!,"Yo También Bailaba Con Súper Pop, Vol. 1+ Vol. 2",2019-10-04,track,Everything She Wants - Remastered
Planet Funk,All on Me,2019-05-10,track,All on Me
Os Amigos dos Músicos,Segundo fogar,2019-04-12,track,Amor frugal
Jofre Bardagí,Hamburg,2019-05-02,track,Que la Nit No S' Acabi
Ezpalak,Itzala,2020-06-26,track,Itzala
Liher,Hemen herensugeak daude,2020-02-28,track,Malinche
Los Piratas,Carácter Latino 25 Aniversario,2020-07-03,track,Años 80
Sanjosex,Dos somnis,2020-06-05,track,Les estrelles
Liher,Teloia,2020-02-21,track,Teloia
Airbag,Discotecas,2020-12-11,track,Disco Azul
La Unión,Carácter Latino 25 Aniversario,2020-07-03,track,Vuelve el amor
Nueva Vulcano,Las Rotondas,2020-06-04,track,Las Rotondas
Mentah,New Beginning,2020-01-06,track,New Beginning
Sanjosex,Dos somnis,2020-06-05,track,La revolució
Shinova,Ñ. Los éxitos del año (2020),2020-11-20,track,Ídolos (Los mejores momentos están por llegar)
Mexican Institute Of Sound,Dios (Uzielito Mix Remix),2020-10-02,track,Dios (Uzielito Mix Remix)
Cobra,Fyre,2020-03-27,track,Letdown
Miss Caffeina,Carácter Latino 25 Aniversario,2020-07-03,track,Mira cómo vuelo
Fito y Fitipaldis,Carácter Latino 25 Aniversario,2020-07-03,track,Viene y va
Bestia Bebé,¿Qué Clase de Ciudad Es Esta?,2020-03-20,track,¿Qué Clase de Ciudad Es Esta?
Keu Agirretxea,Geruzak,2020-10-02,track,Geruzak
Sergio Dalma,Carácter Latino 25 Aniversario,2020-07-03,track,Yo no te pido la luna
Habi,Badakit,2020-09-20,track,Badakit
Los Marañones,La máquina del tiempo,2020-03-13,track,Desde el más allá
Cris Juanico,Salpols,2020-10-09,track,És Quan Et Sent a Prop
Elbicho,Flamenquito Bueno,2020-07-03,track,La azotea
CLAIM,CLAIM en Órbita M (Directo),2020-07-17,track,Volver - Directo
El Belda i el Conjunt Badabadoc,Som Així,2020-06-15,track,Crema de Xàtiva - Bonus Track
Thee Braindrops,I Need Action,2020-06-10,track,The Right Time
Stai Zitto,Ikusi Makusi,2020-05-04,track,Ikusi Makusi
Xarim Aresté,Mercuri,2020-04-10,track,Un Dia Em Vaig Posar Trist
Fito y Fitipaldis,Rock and Roll Actitud,2020-09-11,track,Como pollo sin cabeza
Triana,Rock Andaluz,2020-04-03,track,Tu frialdad (Banda Sonora Original)
Grises,Amazonia Arde,2020-02-14,track,Amazonia Arde
Marlon,Carácter Latino 25 Aniversario,2020-07-03,track,Tequila y Candela
Mentah,New Beginning,2020-01-06,track,Routine
Joan Miquel Oliver,Aventures de la nota La,2020-10-16,track,Valset de la Muerte
Mägo de Oz,Temazos Rock,2020-11-13,track,Hazme un sitio entre tu piel
Sidecars,Los Mejores Directos (Live),2020-05-22,track,"Todos mis males (En directo, Circo Price de Madrid, 8 de octubre, 2016) - Live"
Cobra,Fyre,2020-03-27,track,New Old Days
Jammin´ Dose,Surface (Rare Sessions),2020-09-15,track,Surface (Rare Sessions)
Jabier Muguruza,Geltokiak Izarretara,2020-02-07,track,Berreziketaren zailtasunari buruz
Toulouse,El Erizo,2020-04-21,track,La Verdadera Soledad
Sidecars,De bar en bar: Lo mejor del Pop-Rock Español,2020-01-10,track,Todo es mentira
Pastora Soler,Gigantes de la Canción Española,2020-04-10,track,Solo tu
Los Delinqüentes,Camino Del Sur: Nuevo Pop Andaluz,2020-09-04,track,Trabubulandia
Los Secretos,#QuedateEnCasa,2020-05-08,track,Pero a tu lado
Jarabe De Palo,Carácter Latino 25 Aniversario,2020-07-03,track,Yin yang
Diego Martín,Cantautores Regionales,2020-01-10,track,Puestos a pedir
107 Faunos,El Ataque Suave,2020-10-09,track,Geometry Dash
Tomeu Penya,Natura,2020-12-18,track,Amb so primer tren
El Sueño de Morfeo,Carácter Latino 25 Aniversario,2020-07-03,track,Para toda la vida
Lynyrd Skynyrd,Rock FM Guitarmanía,2020-06-19,track,Free Bird
Carmen 113,Tus Mudanzas,2020-04-10,track,Tus Mudanzas
La Porta Dels Somnis,Essencial,2016-04-01,track,Entre Nosaltres
Alejandro Conde,Alejandro Conde,2016-01-25,track,Madre Guapa
La Pegatina,Ñ. El disco del año (2016),2016-12-02,track,Mari carmen - La Gran Pegatina - Live 2016; Single Edit
Etxe,BiZi,2016-09-23,track,Bi Mila Hitz - Seiurte
Txuma Murugarren,Zerbait ari da gertatzen hor,2016-10-27,track,Uda usaina
Tano!,TANO!,2016-10-26,track,L'Ànima en Pena
Xiula,5472 m,2016-04-15,track,Silenci
The Oddballs,We Are The Oddballs,2016-12-23,track,Nazi Zombies Ate My Baby
Javier Ojeda,Barrio la Paz Actos 2 & 3,2016-02-29,track,Baila Conmigo
Terratombats,Bestial,2016-03-22,track,Hereus de mala vida
Etsaiak,Bukaeraren Hasiera,2016-11-28,track,Fatal Error
Track Dogs,Serenity Sessions,2016-03-11,track,Whatever Happens
Grises,Erlo,2016-03-11,track,Huesos
Izeberg,Lurrik Ez Begi Bistan,2016-06-10,track,Itzalitako Izarrak
Lauroba,IV,2016-04-12,track,Oroitzapenak
Brioles,30 Aniversario 1990-1993,2016-10-29,track,Los Zapatos De Otro Hombre
Destino 48,Sol de invierno,2016-09-12,track,Son las reglas
Capsula,Santa Rosa,2016-04-29,track,Moving Mutant
Capsula,Santa Rosa,2016-04-29,track,No Contestás
Physis Versus Nomos,Saudade É Fatal 2,2016-07-22,track,Saudade
ALIS,Vivimos detrás del tiempo que nos sobra,2016-10-28,track,Segundas partes
Eraso!,Kaiolatik Ihes,2016-03-05,track,Ezinak Ekinez Eginak
Huecco,Ñ. El disco del año (2016),2016-12-02,track,Deprisa
Os Amigos dos Músicos,Os Amigos dos Músicos,2016-10-14,track,Son o Último
Vinicio Capossela,Canzoni della cupa,2016-05-06,track,Dagarola del Carpato
Atencion Tsunami,Silencio en la Retaguardia,2016-05-13,track,Poniente
El Diluvi,Vell Record,2016-12-22,track,Vell Record
Pokers,El Que No Es Pot Explicar,2016-02-18,track,El Dia
Atzembla,Cors Armats,2016-02-24,track,Quan Tot Es Fa Fosc
Texxcoco,Blu,2016-04-22,track,Fire
Adrià Puntí,Enclusa i un cop de mall,2016-04-15,track,Flor d'un dia
Adrià Puntí,Enclusa i un cop de mall,2016-04-15,track,Tocayo
Txuma Murugarren,Zerbait ari da gertatzen hor,2016-10-27,track,Zerbait ari da gertatzen hor
Txuma Murugarren,Zerbait ari da gertatzen hor,2016-10-27,track,Alferrik deitoratzea
Ivette Nadal,Tornar a mare,2016-01-15,track,L'amor meu
Jane's Addiction,Mad Cool Festival 2016,2016-06-17,track,Been Caught Stealing
La Gossa Sorda,La Veu D'un Poble,2016-05-27,track,L'Últim Heretge
Pep Sala,Ops! Mireu què he fet,2016-04-16,track,Ironies de la vida
Txuma Murugarren,Zerbait ari da gertatzen hor,2016-10-27,track,Bagoaz hemendik
Roger Usart,Songs from a Twisted Neck,2016-11-04,track,Lonesome
Jacobo Serra,Icebergs,2016-02-19,track,Let It Go
Lauroba,IV,2016-04-12,track,Igandea da
Toulouse,El Capitán,2016-11-30,track,El Capitán
Altxatu,Atzeko Atea,2016-04-23,track,Atzeko Atea
Rulo y la contrabanda,Ñ. El disco del año (2016),2016-12-02,track,Me gusta
The Kleejoss Band,River Sound Unleashed,2016-04-01,track,Plasticland
Bantastic Fand,Welcome to Desert Town,2016-01-01,track,Can't You See
Kokein,Lurpekhariä,2016-11-25,track,Beste Behin
Ivette Nadal,Tornar a mare,2016-01-15,track,En aquest parany
Pep Sala,Ops! Mireu què he fet,2016-04-16,track,Fes-me un lloc al teu costat
Melange,Viento Bravo,2017-11-17,track,Splendor Solis
Melange,Viento Bravo,2017-11-17,track,Cotard
Xarim Aresté,Riu amunt,2017-10-11,track,Riu amunt
Eneritz Furyak,Eneritz Furyak,2017-03-07,track,Azken hatsean
Gatoperro,Cowboys,2017-05-12,track,Poltergeist
Isma Romero,Luminiscencia,2017-10-06,track,Sensacional
Lucas Masciano,Live,2017-07-15,track,Si Ya Lo Dijo Andrés - live
Imperio Argentina,Las 101 grandes Coplas,2017-03-24,track,Antonio Vargas Heredia
The Sick Boys,Swingin' and Twistin',2017-03-06,track,Fuga
Rafa Rueda,Hiri kristalezkoa,2017-11-09,track,Ainara
Joseba Tapia,Besamotzak,2017-11-08,track,Biba Berango
L'Hereu Escampa,Pren la matinada,2017-10-06,track,El Temperi
Jarabe De Palo,Exitos de los 00,2017-06-26,track,Bonito
Autumn Comets,Realejo,2017-11-17,track,Realejo
Stormy Mondays,Suitcase Full of Dreams,2017-06-21,track,Don't Count Me Out
Rafa Rueda,Hiri kristalezkoa,2017-11-09,track,Eleonora
Sofa,I I,2017-05-29,track,Erro Karratua
The Sick Boys,Swingin' and Twistin',2017-03-06,track,Hablar para Nada
Juanes,Mujeres Y Hombres Y Viceversa (Vol. 8),2017-02-10,track,Hermosa Ingrata
Rafa Rueda,Hiri kristalezkoa,2017-11-09,track,Nahikari
Camela,Ñ: El disco del año (2017),2017-12-01,track,No pongas riendas al corazón
Rafa Rueda,Hiri kristalezkoa,2017-11-09,track,Roy Batty
Pablo Valdés,Canciones Salvavidas,2017-11-01,track,Malvarrosa
Autumn Comets,Realejo,2017-11-17,track,La Montaña Vino a Mí
Vaquero,Piedras,2017,track,Bonnie and Clyde
Joseba Tapia,Besamotzak,2017-11-08,track,Madrilgo lagunak
Kadebostany,Mind If I Stay,2017-11-24,track,Mind If I Stay - Roy Malakian Edit
Miquel Abras,La Vida en un Sospir,2017-03-24,track,Abans Era Millor
Vuit,Històries Xules,2017-09-15,track,Parla d'ell
Nat Simons,Endless Summer Road,2017-09-15,track,Endless Summer Road
La Caja De Pandora,Flamenquito 2017,2017-02-20,track,A Nuestra Vida Otro Sentio
OBESES,"Verdaguer, Ombres I Maduixes",2017-05-22,track,L'Atlàntida (Instrumental)
Amateur,Será Verdad,2017-06-23,track,Será Verdad
Odolaren Mintzoa,Etsipenaren aurka,2017-09-21,track,GOGORATU
Leiva,Por Ellas 2017 (Cadena 100),2017-11-03,track,Mirada Perdida
Salto,Far from the Echoes,2017-10-06,track,Her Man
Corizonas,Luces Azules / Ecos del Futuro,2017-04-07,track,Luces Azules
Melange,Viento Bravo,2017-11-17,track,Armas Preparadas
La Fuga,Exitos de los 00,2017-06-26,track,Buscando en la basura
Los Rodriguez,De los 90,2017-06-12,track,Sin Documentos
Toulouse,Montemarte,2017-01-10,track,"Mudanzas, Cariño"
"Quico El Célio, El Noi I El Mut De Ferreries",No Tinc Diners,2017-03-31,track,Romanço del Poble Ilercavó
Nunatak,Ñ: El disco del año (2017),2017-12-01,track,Romper el cielo
Miquel Abras,La Vida en un Sospir,2017-03-24,track,Molts Volen Viure de Tu
Vera Fauna,Relieve,2017-06-16,track,Equis
Vaho,Sin Nombre,2017-02-24,track,Sin Nombre
La Terrasseta de Preixens,Un cop més,2017-04-28,track,Un cop més
"Quico El Célio, El Noi I El Mut De Ferreries",No Tinc Diners,2017-03-31,track,La Colometa
Hendrik Röver,Fetén/Fatal,2017-03-01,track,La Reina Del Baile
Grises,Los 40 Trending,2017-07-21,track,Laberinto
Hora de Joglar,100 Cançons Que Expliquen 10 Anys,2018-03-29,track,Tot És Poc
Leiva,First Dates (2018),2018-03-23,track,La Llamada - Edit
Sylvia Pantoja,A Favor del Viento,2018-09-04,track,Tú Lo Sabes
Mota Blues,Buen Viaje,2018-05-11,track,Lo Cura
Cuello,Regalo Doble,2018-02-02,track,El Solitario Dueño de Mi Emoción
Iker Lauroba,Udazkena,2018-11-01,track,Le soleil se lève
Sartenazo Cerebral,Ciudad Cloaca,2018,track,Luchar
Camilo Séptimo,Óleos,2018-07-27,track,Telepatía
Mario Cobo,Almeria Gone Guy,2018-02-02,track,More Than Water
Shinova,Ñ: El disco del año (2018),2018-11-30,track,El Álbum
Koel,Brújula,2018-09-28,track,Vértigo
Dionne Warwick,Música Disco De Los 70,2018-03-09,track,Take It from Me
Yo Ciervo,Mundu Honetan,2018-12-02,track,Mundu Honetan
Duran Duran,Música de verano,2018-12-28,track,Rio - Remix
La Trinca,Marro!,2018-10-19,track,Marro!
Duncan Dhu,Música de verano,2018-12-28,track,A tu lado
Willis Drummond,Live,2018-11-30,track,Anai
Stormy Mondays,"So Far, So Good: 20 Years of Stormy Mondays",2018-12-24,track,Losing My Blue Moon
Merche,Por Ellas 2018 (Cadena 100),2018-10-19,track,Te Lo Mereces (Remix)
Gatoperro,Ríen los dioses,2018-09-28,track,Ángeles y demonios
Txapelpunk,Zorionak Nire Partez Niretzako,2018-11-23,track,Borrokan Rolla
The Lákazans,Sandwina,2018-12-01,track,Better Late Than Never
Sartenazo Cerebral,Ciudad Cloaca,2018,track,"No Nos Mires, Pégame"
Ataque Escampe,A vida dos animais (2012-2018),2018-12-31,track,Música feliz (2012)
Caso Omiso,Punto y Aparte,2018-03-15,track,Con el Agua Alcuello
