artista,biografia
Duran Duran,"Duran Duran (named after a character in Roger Vadim's sci-fi classic, Barbarella) is an electronic  pop rock band that was part of the New Wave movement of the 80s and 90s. Duran Duran have sold over 100 million records, making them one of the world's best-selling music artists. They achieved 30 top 40 singles in the UK Singles Chart (14 of them top 10) and 21 top 40 singles in the US Billboard Hot 100. The band have won numerous awards throughout their career: two Brit Awards including the 2004 award for Outstanding Contribution to Music <a href=""https://www.last.fm/music/Duran+Duran"">Read more on Last.fm</a>"
Ñekü," <a href=""https://www.last.fm/music/%C3%91ek%C3%BC"">Read more on Last.fm</a>"
Los Gatos del Gitano," <a href=""https://www.last.fm/music/Los+Gatos+del+Gitano"">Read more on Last.fm</a>"
Grises," <a href=""https://www.last.fm/music/Grises"">Read more on Last.fm</a>"
ALIS,"As of 2024, there are at least four artists by the name of Alis:

1. Pachi Delgado is the essence of pure music, and this is easy to explain but difficult to achieve. Having been a leader and voice of Alis Dee, jiennense worship band, and everything that happened to her, as the contract with EMI, Pachi decided to engage in production work from his studio in Baeza (Alis record) with countless groups such big names as Josele Santiago (doing preproduction on ""the swallows etc. <a href=""https://www.last.fm/music/Alis"">Read more on Last.fm</a>"
Los Retrovisores," <a href=""https://www.last.fm/music/Los+RetroVisores"">Read more on Last.fm</a>"
Mujeres,"Formed in 2007, this quartet from Barcelona, Spain, met at film school where they bonded over a shared love of vintage rock and punk. They started off writing soundtracks to their various film projects. Taking their cues from their US counterparts, the band adopted a “play any show” mentality. Before long they had a set of raucous songs and a loyal following that would turn up to every gig, be it in a dingy dive bar or SXSW.

 https://mujeres.bandcamp.com  <a href=""https://www.last.fm/music/Mujeres"">Read more on Last.fm</a>"
ENMA FERNÁNDEZ," <a href=""https://www.last.fm/music/ENMA+FERN%C3%81NDEZ"">Read more on Last.fm</a>"
Da Igual,"Wences Sánchez empieza a despuntar desde bien pequeño como cantante y compositor. Su aire juvenil y desenfadado, junto a un estilo muy peculiar, le dan a sus canciones un toque muy personal que lo diferencian del resto. Su proyecto musical va gestándose poco a poco hasta que, en 2005, nace DA=. 

Tras mucho trabajo y largas horas de ensayo, DA= sale al mercado de forma independiente y autoproduce su primer disco, INJUSTIFICABLE. Sin apenas promoción <a href=""https://www.last.fm/music/da+igual"">Read more on Last.fm</a>"
Kiko Veneno,"Hijo de militar y ama de casa, creció en Cádiz y Sevilla. Estudió Filosofía y Letras y viajó por Europa y Estados Unidos, donde asistió a conciertos de artistas que le han infludo como Frank Zappa y Bob Dylan, pero, curiosamente, también allí descubrió (o redescubrió) el flamenco. En 1975, en un encuentro que cambiaría su vida, conoció a los hermanos Rafael y Raimundo Amador, con los que forma el grupo Veneno. En 1977 publicaron un disco titulado con el nombre del grupo y producido por Ricardo Pachón. <a href=""https://www.last.fm/music/Kiko+Veneno"">Read more on Last.fm</a>"
Skama la rede," <a href=""https://www.last.fm/music/Skama+la+rede"">Read more on Last.fm</a>"
Itaca Band," <a href=""https://www.last.fm/music/Itaca+Band"">Read more on Last.fm</a>"
Nixon,"There are several artists known by the name Nixon:

1). Nixon, from Halmstad, Sweden, is a project of Roger Gunnarsson (Free Loan Investments, The Garlands, Cloetta Paris...), and perhaps the one he is best known for. Gunnarsson began recording songs as Nixon with his cousin when he was a child in the mid 1980s. Some time later in the mid 1990s, he and friend Henrik Påhle recorded a Nixon demo which caught the attention of a few labels in their native Sweden and North America. <a href=""https://www.last.fm/music/Nixon"">Read more on Last.fm</a>"
Qverno," <a href=""https://www.last.fm/music/Qverno"">Read more on Last.fm</a>"
Vaquero,"1.) Vaquero is a band formed in Monterrey, Mexico in 2004, who draw on styles including indie rock and alternative. The group consists of ex-Zurdok Movimiento (aka Zurdok) bandmates Gerardo ""Chetes"" Garza (vocals, guitar, keyboards) and Maurizio Terracina (bass, guitars, vocals).

After a successful stint on the Latin Alternative Music Conference (LAMC) showcase, they enlisted the help of drummer Rodrigo Guardiola to complete the new three-piece pop-rock group. <a href=""https://www.last.fm/music/Vaquero"">Read more on Last.fm</a>"
Alejandro Conde," <a href=""https://www.last.fm/music/Alejandro+Conde"">Read more on Last.fm</a>"
Barricada,"Barricada is a hard rock band from Pamplona / Iruña (Navarra, Spain) formed in 1982

Originaly formed by Enrique Villareal ""El Drogas"" (bassist and vocalist), José (Drums), Sergio Osés (second guitar), all three coming from the band Kafarnaún, and Javier Hernandez ""Boni"" (guitarist and vocalist).

They gave their first concert in April 1982 in the Txantrea square, an even that's remembered because they played without any scenery and directly surrounded by people. <a href=""https://www.last.fm/music/Barricada"">Read more on Last.fm</a>"
Urtz,"Urtz se formó en 1988. La formación original fue Xabier Camarero (voz y guitarra), Asier Arocena (guitarra y coros), Josu Ariztegi (batería y coros) y Víctor G.-Argüelles (bajo).
Con la grabacion de la maqueta titulada ""Zelatan"" en el año 1991 se dieron a conocer al publico y les sirvio para grabar su primer disco con Oihuka ""Ekaitzaren garrasia"". Un primer trabajo explosivo y duro como la roca.
A los dos años llegaría el segundo album titulado ""Hautsa astinduz"" y pegó fuerte entre los seguidores del metal  <a href=""https://www.last.fm/music/Urtz"">Read more on Last.fm</a>"
La Vil Canalla," <a href=""https://www.last.fm/music/La+Vil+Canalla"">Read more on Last.fm</a>"
Durango14," <a href=""https://www.last.fm/music/Durango14"">Read more on Last.fm</a>"
Ruxe Ruxe," <a href=""https://www.last.fm/music/+noredirect/Ruxe+Ruxe"">Read more on Last.fm</a>"
Xabi Bandini," <a href=""https://www.last.fm/music/Xabi+Bandini"">Read more on Last.fm</a>"
Ataque Escampe,"Ataque Escampe é grupo de rock acústico formado no ambiente universitario da cidade de Santiago de Compostela por rapaces de diferentes zonas do país contra o remate do ano 2001. Nese momento os seus seis membros, Samuel, Pablo, Álex, Dani, Miguel e Roi, comezan a ensaiar de xeito irregular na residencia universitaria do Monte da Condesa, ademais de gravar con pésimos medios (por exemplo, cassette) temas de corte folk-rock (o laúde e o violín <a href=""https://www.last.fm/music/Ataque+Escampe"">Read more on Last.fm</a>"
Zona Oscura," <a href=""https://www.last.fm/music/Zona+Oscura"">Read more on Last.fm</a>"
Os Amigos dos Músicos," <a href=""https://www.last.fm/music/Os+Amigos+dos+M%C3%BAsicos"">Read more on Last.fm</a>"
Miquel Gil,"Miquel Gil is one of the best known Valencian folk artist. His career started in ""Al Tall"" a traditional folk band from the Valencian Country.

His solo career mixes up sounds from across the mediterranean with a strong Valencian foundation, rooted in the moorish influences of his native culture.

After more than a hundred concerts of his CD Orgànic (Galileo-MC, 2002) and becoming a reference of Valencian folk, Miquel Gil begins a new adventure with his second soloist CD: Katà (Galileo-MC, 2004). <a href=""https://www.last.fm/music/Miquel+Gil"">Read more on Last.fm</a>"
Melendi,"His full name is Ramón Melendi Espina. Spanish pop singer with rock, flamenco, and rumba influences. Was born on January 21, 1979 in Oviedo, Asturias. 

He realized very quickly that he wasn't made for studying, but he was good at soccer. He played in the lower ranks of Astur CF, at the time a reserve team for Real Oviedo. Afterwards, he worked as a waiter in several bars and spent all night out, living experiences that would later go on to make up the lyrics of his songs. <a href=""https://www.last.fm/music/Melendi"">Read more on Last.fm</a>"
The Cardigans,"The Cardigans are a Swedish band that formed in Jönköping, Småland, Sweden in 1992. The band's musical style has varied greatly from album to album; encompassing their early indie-leanings passing through '60s-inspired pop and more band-based rock. Their current lineup is Nina Persson on vocals, Peter Svensson on lead guitar, Magnus Sveningsson on bass guitar,  Bengt Lagerberg on drums and Lars-Olof Johansson on keyboards and guitar. 

The five-piece met as teenagers in Jönköping <a href=""https://www.last.fm/music/The+Cardigans"">Read more on Last.fm</a>"
Wham!,"Wham! (often written WHAM!) was a pop band formed in 1981 from Bushey, England. They were briefly known in the United States as Wham! UK due to a naming conflict with another band.

George Michael and Andrew Ridgeley met at Bushey Meads School in Watford, England. At first, they performed in a short-lived rock and roll band called The Executive. They then changed their name and signed with Innervision Records. Soon after a legal victory over Innervision <a href=""https://www.last.fm/music/Wham%21"">Read more on Last.fm</a>"
Planet Funk,"Planet Funk is an Italian electronic dance musical ensemble.

Members are Sergio Della Monica, Alex Neri, Domenico GG Canu, Marco Baroni, Alex Uhlmann and Alessandro Sommella (the Ghost extra member), in addition to a series of guest singers in collaboration, like Dan Black, Sally Doherty, Raiz and John Graham. Alex Uhlmann joined as the band's latest lead singer in November 2010.

Their first single, ""Chase the Sun"", reached number five on the UK Singles Chart in 2001. <a href=""https://www.last.fm/music/Planet+Funk"">Read more on Last.fm</a>"
Jofre Bardagí," <a href=""https://www.last.fm/music/+noredirect/Jofre+Bardag%C3%AD"">Read more on Last.fm</a>"
Ezpalak," <a href=""https://www.last.fm/music/Ezpalak"">Read more on Last.fm</a>"
Liher," <a href=""https://www.last.fm/music/LiHer"">Read more on Last.fm</a>"
Los Piratas,"Los Piratas (sometimes known only as Piratas) were a pop-rock group from Vigo (Spain), led by Iván Ferreiro (lead vocalist and author of most of the songs).

Their first album was ""Los Piratas"", a live record, followed by ""Quiero hacerte gritar"", their first  studio album. Later on they would release ""Poligamia"" and ""Manual para los fieles"". Their next album, ""Fin de la primera parte"" (end of the first part), was a special album that recapped their best songs and marked a changed towards much more complex style. <a href=""https://www.last.fm/music/Los+Piratas"">Read more on Last.fm</a>"
Sanjosex,"After a lot of time of playing the guitar and writing songs, in 2000, Carlos Sanjosé formed a band in La Bisbal d'Empordà called Sanjosex. After five years of sporadic live concerts he decided to record his first album, Viva!, that surprised critics and audience in the year 2005 and that sounded repeatedly on the catalan TV series Porca Misèria. Two years later Temps i Rellotge appeared, where organic sounds gain relevance, and on a trip he culminated Al marge d'un camí (2010). <a href=""https://www.last.fm/music/Sanjosex"">Read more on Last.fm</a>"
Airbag,"There are  at least 9 bands with the same name:

1. Airbag,  from Norway
2. Airbag, from Spain
3. Airbag, from Argentina
4. Airbag, from South Korea.
5. Airbag, from Bulgaria
6. Airbag, from the Netherlands
7. Airbag, from China
8. Airbag, from Japan
9. Airbag, from Czech Republic

1 .Airbag is a five member progressive rock group from Norway. The line up (from 2010) is Anders Hovdan - Bass, Asle Tostrup - Vocals, guitar, Bjørn Riis - Guitar, vocals, Henrik Fossum - Drums and Jørgen Hagen - Keyboards. <a href=""https://www.last.fm/music/Airbag"">Read more on Last.fm</a>"
Nueva Vulcano,"After Aina split up, Artur Estrada, his singer and guitarrist decided to make a new band with Albert Guárdia (also Drummer for The Moon Men) and Bassist ex-Shanty Rd.'s Wences Aparicio. Their sound is inclassificable in any genre, some influences are Los Planetas, My Bloody Valentine, Hüsker Dü and Jawbox. ¡A mi me gustan más que a un tonto un lápiz! (I like them more than a fat kid loves cakes!) <a href=""https://www.last.fm/music/Nueva+Vulcano"">Read more on Last.fm</a>"
Mentah," <a href=""https://www.last.fm/music/mentah"">Read more on Last.fm</a>"
Shinova,"Shinova is a Spanish alternative rock group, formed in 2008 in Berriz, Vizcaya (Spain). The band's music were initially close to hard rock and alternative metal, they were often compared to Spanish compatriots Sôber, Savia and Skizoo. However, since 2014's Ana y el Artista Temerario released via Spanish label Maldito Records, the music has become more indie rock-oriented. Their fourth album Volver was released in 2016 via Warner Music and peaked at no. 49 in Spanish Albums Charts <a href=""https://www.last.fm/music/Shinova"">Read more on Last.fm</a>"
Mexican Institute Of Sound,"Camilo Lara is the one-man dynamo behind Mexican Institute of Sound, also known as Instituto Mexicano del Sonido. Hailing from the sprawling metropolis that is Mexico City, Lara channels his inner rockstar,  while holding down a day job as head of a major label. Like a musical superhero, Lara steps out of his executive alter ego, gets involved with the underground musica movement and begins his musical mission delivering electronic masterpieces with only the help of his computer, his nurturing imagination, and his awesome collection of vinyl. <a href=""https://www.last.fm/music/Mexican+Institute+of+Sound"">Read more on Last.fm</a>"
Cobra,"There are many different bands/artists called Cobra:

1. A U.S. hard rock/metal band founded 1982 with a single album release: First Strike. Notable songs off that album were ""Blood On Your Money"", ""Midnight Machine"", ""What Love Is"" and ""First Strike"". Vocalist Jimi Jamison joined Survivor soon after Cobra disbanded in 1984 and went on to become one of the most recognizable voices of melodic rock throughout the '80s and '90s (including the theme song to 'Baywatch') and is still making music and touring today. <a href=""https://www.last.fm/music/Cobra"">Read more on Last.fm</a>"
Miss Caffeina,"Miss Caffeina are five guys who are really into making music. Their passion for music has been the motor that has kept  the group running from the moment they formed  to the present day. Together they've recorded 4 EPs and 1 full-length album. The group still finds time to make music even though the members live in different cities around Spain. 

Destrucción Creativa (2007) was their first EP. Recorded in Granada, Spain, with help from Eric from Los Planetas, (who was giving drum lessons in the same studio) amongst others. <a href=""https://www.last.fm/music/Miss+Caffeina"">Read more on Last.fm</a>"
Fito y Fitipaldis," <a href=""https://www.last.fm/music/Fito+Y+Fitipaldis"">Read more on Last.fm</a>"
Bestia Bebé,"Desde el año 2011, del barrio de Boedo para el mundo. Cuatro amigos que armaron una banda para hacer discos y salir a tocar las canciones por todos lados.

 Esa es la autodescripción que hacen Tomás, Chicho, Polaco y el Topo de su banda. Salir a tocar a todos lados. <a href=""https://www.last.fm/music/Bestia+Beb%C3%A9"">Read more on Last.fm</a>"
Keu Agirretxea," <a href=""https://www.last.fm/music/Keu+Agirretxea"">Read more on Last.fm</a>"
Habi,"https://habitaldea.bandcamp.com/ <a href=""https://www.last.fm/music/Habi"">Read more on Last.fm</a>"
Los Marañones," <a href=""https://www.last.fm/music/+noredirect/Los+Mara%C3%B1ones"">Read more on Last.fm</a>"
Cris Juanico,"Cris Juanico i Alzina (Ciutadella de Menorca, 1967) is a Catalan singer member of Ja t'ho Diré (with whom he recorded 6 works). With ""Ja t'ho"", Cris won the Ramon Llull prize as a reference band in Menorca, as well as the ""1998 best disc of the year"" prize (Radio 4) for ""Un Ram de Locura"". Cris participated in the ""Menaix a Truà""  band too, together with Toni Xuclà and Juanjo Muñoz (Gossos), with whom he recorded 2 discs.

In 2004 he starts a solo career with the work ""Memòria"" [Aumon & Musica Global labels] <a href=""https://www.last.fm/music/Cris+Juanico"">Read more on Last.fm</a>"
Elbicho,"elbicho is a Spanish rock/flamenco band. Formed in the streets of Madrid, elbicho began to make a huge fanbase because of their creative way of fusing “flamenco bulerías and tanguillos with an array of diverse styles such as progressive rock, african rhythms and a touch of jazz.”

They met at the “Escuela Popular de Música” with Gullermo McGill, a renowned flamenco percussionist as its music workshop director. 

The band originated when Miguel Campello and Victor Iniesta (guitar) joined Carlos Tato (bass) <a href=""https://www.last.fm/music/elbicho"">Read more on Last.fm</a>"
CLAIM,"There are at least two bands named Claim:
(1) A Czech rock band formed in Zlín.
(2) A German rock band based in Dresden.

(1) Claim is a Czech rock band. The band was formed in 2001 in   Zlín by vocalist and bass player Jakub Malar with guitarist Jiri Halaska. The other band members are Petr Ptacek (drums), Alzbeta Staskova (bass) and Jencek Kolmacka (sax). They have already recorded two records : On The Road (2002) and From The Pub To The Top  (2004). Now they're working on the third record Waiting For The Future. <a href=""https://www.last.fm/music/Claim"">Read more on Last.fm</a>"
El Belda i el Conjunt Badabadoc," <a href=""https://www.last.fm/music/El+Belda+i+el+conjunt+Badabadoc"">Read more on Last.fm</a>"
Thee Braindrops," <a href=""https://www.last.fm/music/Thee+Braindrops"">Read more on Last.fm</a>"
Triana,"Triana was a Spanish band formed in 1975 in Seville, Andalusia, Spain by Jesús de la Rosa Luque (vocals, keyboards), Eduardo Rodríguez Rodway (vocals, guitar) and Juan José Palacios ""Tele"" (drums, percussion).
They played a fusion of progressive rock and flamenco music, best known as rock andaluz or Andalusian rock.
Their first album, ""El patio"", was released in 1975, followed by ""Hijos del agobio"" in 1977 and ""Sombra y Luz"" in 1979. They released two more albums before Jesús de la Rosa Luque died in a car accident in 1983.
 <a href=""https://www.last.fm/music/Triana"">Read more on Last.fm</a>"
Marlon,"There are four artists with this name:

1. Marlon (born August 24, 1977 in Cuba) is a Cuban singer, better known as the winner of the third season of Objetivo Fama, a Puerto Rican reality-show -singing talent contest broadcast by Univision Puerto Rico, and Telefutura network in the United States.

Marlon Fernández was born in La Lisa, Cuba in 1977 to José and Raquel Fernández. At the age of 14, he formed a five-piece band that would help him in his future career. <a href=""https://www.last.fm/music/Marlon"">Read more on Last.fm</a>"
Joan Miquel Oliver,"Joan Miquel Oliver is a Mallorquin poet, singer and guitarist.  

He is the composer and guitarist for Antònia Font, and at the same time has a solo career.  He has also published a novel and a book of poetry (related with Drogueria Esperança).

 <a href=""https://www.last.fm/music/Joan+Miquel+Oliver"">Read more on Last.fm</a>"
Mägo de Oz,"Mägo de Oz is a Folk Metal band from Madrid, Spain, formed in 1989 by drummer Txus. It was one of the earliest bands to perform Folk metal, combining celtic and Spanish folk music with heavy/power metal since their first releases. Their lyrics (always written in Spanish) combine supernatural stories and drinking escapades with a biting satire.

In 1992, the band became a finalist in the ""Villa de Madrid"" contest. They achieved great success in their country, and became Revelation Rock band in various media in 1995. <a href=""https://www.last.fm/music/+noredirect/M%C3%A4go+de+Oz"">Read more on Last.fm</a>"
Jabier Muguruza,"Basque writer, composer, accordionist and singer-songwriter. After collaborating with many mainstream artists as accordionist, in 1989 he started his solo career with a very acclaimed children music record, since them he has released numerous solo works for an adult audience and has been active member of Les Mecaniciens and Joxe Ripiau <a href=""https://www.last.fm/music/Jabier+Muguruza"">Read more on Last.fm</a>"
Toulouse,"Toulouse is the name of more than one artist
1) french indie pop
2) Swedish rock
3) Female disco trio from Montreal, Canada.  <a href=""https://www.last.fm/music/Toulouse"">Read more on Last.fm</a>"
Pastora Soler,"Pilar Sánchez Luque (born September 27, 1978 in Coria del Río, Seville), better known by her stage name Pastora Soler, is a Spanish singer. She is also a songwriter and her compositions usually mix copla or flamenco with or pop or electronic music. Soler represented Spain in the Eurovision Song Contest 2012 in Baku, Azerbaijan with ""Quédate Conmigo (Stay With Me)"".

A precocious chanteuse, she started singing coplas and flamenco songs at several events when she was a child. <a href=""https://www.last.fm/music/Pastora+Soler"">Read more on Last.fm</a>"
Los Delinqüentes,"Los delinqüentes fue un grupo musical andaluz fundado en 1998, originario de Jerez de la Frontera (Cádiz), originalmente compuesto por Miguel Ángel Benítez Gómez, Er Migue, Marcos del Ojo (conocido como Er Canijo de Jeréz) y Diego Pozo Er Ratón y su Banda del Ratón.

Se caracterizan por realizar una fusión de ritmos de su tierra natal con un pop inflamable y burlesco muy cercano al funky, así como rock y blues, en el que ocupan extensivamente expresiones y formas de pronunciar del dialecto andaluz. <a href=""https://www.last.fm/music/+noredirect/Los+Delinq%C3%BCentes"">Read more on Last.fm</a>"
Los Secretos,"Los Secretos is a Spanish group founded in Madrid in the 1980's. Their music was like a breath of fresh air with daily life lyrics. They originally named themselves  ""Tos"", with Urquijos Brothers and Canito. Their breakout album was named like the group, then came ""Todo sigue igual"", ""Algo mas"", etc. The group had a very big handicap with the death of Enrique Urquijo, founder member of the group. Since then Alvaro Urquijo took the responsibility. <a href=""https://www.last.fm/music/Los+Secretos"">Read more on Last.fm</a>"
Jarabe De Palo,"Jarabe de Palo (literally ""Wooden Stick Syrup"" or, after the Spanish expression ""dar un jarabe de palo"", i.e. a ""hell of a beating""), was a Spanish rock band founded in 1996. The group was led by singer, songwriter, and guitarist Pau Donés, whose death in 2020 caused the band to break up.

Pau Donés, born and raised in Barcelona, worked for various groups before being able to take on his current project, Jarabe de Palo. He began at age 15 with his brother Marc, with whom he formed a group known as J. <a href=""https://www.last.fm/music/Jarabe+de+Palo"">Read more on Last.fm</a>"
Diego Martín,"http://www.diego-martin.es/ <a href=""https://www.last.fm/music/+noredirect/Diego+Mart%C3%ADn"">Read more on Last.fm</a>"
107 Faunos,"107 Faunos is an indie pop band or “rustic pop” (self-definition) from the city of La Plata, Buenos Aires, Argentina. Formed in 2006, the band consists of Petén, Gatito, Pipe, Morita y Felix, led by a dark optimism, their songs walk with eyes closed between valerian plants and premonitions. <a href=""https://www.last.fm/music/107+Faunos"">Read more on Last.fm</a>"
Tomeu Penya,"Bartomeu Nicolau Morlà, mostly known as Tomeu Penya (Vilafranca de Bonany, Majorca, Spain, 1949), is a majorcan singer. His style mixes traditional majorcan folk, classic rock and roll, and country music. He began his musical career in the early 80´s with ""Tomeu Penya canta a la vila"". His works with a strong local folk composition are ""Càrritx i roses"" (1982) and ""Coverbos"" (1984). He´s still in active. <a href=""https://www.last.fm/music/Tomeu+Penya"">Read more on Last.fm</a>"
El Sueño de Morfeo,"El Sueño de Morfeo is a folk/pop group from Spain. Their career began in 2004 with the release of the single Nunca Volverá. With another single, Ojos de Cielo, they cemented their place worlwide in the spanish music scene. Their first album, self-titled El Sueño de Morfeo, dropped in 2005 with 11 tracks. The lead vocalist, Raquel del Rosario Macias, shows evidence of a spanish-speaking Sheryl Crow or Sarah McLachlan. The guitarists, David Feito and Juan Luis Garrido, also provide a great rhythm for the pop/folk blend. 
 <a href=""https://www.last.fm/music/+noredirect/El+Sue%C3%B1o+de+Morfeo"">Read more on Last.fm</a>"
Lynyrd Skynyrd,"Lynyrd Skynyrd (pronounced /ˌlɛnərd ˈskɪnərd/ LEN-ərd-SKIN-ərd) is a Southern Rock band, formed in Jacksonville, Florida, USA in 1964. The band became prominent in the Southern United States in 1973, and rose to worldwide recognition before three members and one road crew member died in an airplane crash in 1977. The band reformed in 1987 for a reunion tour with lead singer Ronnie Van Zant's younger brother Johnny as the frontman. Lynyrd Skynyrd continues to tour and record. <a href=""https://www.last.fm/music/Lynyrd+Skynyrd"">Read more on Last.fm</a>"
Carmen 113,"All what's been gathered by this band from Girona, CARMEN 113, during the last years is concentrated in their second album ""Intenta respirar"" (113 Records/El Diablo, 2008). An album created, composed and recorded conscientiously, because this time, CARMEN 113, has been able to spread all their musical charms without any big effort - experience is a degree- and they've managed to capture 12 songs which allowed them to surf with no fear within the waves of  the darkest rock reaching even the vitality of hip hop and funk. <a href=""https://www.last.fm/music/Carmen+113"">Read more on Last.fm</a>"
La Pegatina,"The band was born in 2003 with the name ""Pegatina Sound System"" after Ovidi i Adrià meet Rubén, who up to that moment was playing solo. They decided to throw forward the project, without knowing to where it would go. One year later they had more than 20 performances under their belts and were one of the most active groups in the Catalan market. The band were starting to take part in festivals and performances in different places in Spain. They established the official name ""La Pegatina"" <a href=""https://www.last.fm/music/La+Pegatina"">Read more on Last.fm</a>"
Etxe,"Etxe is the short version of Iñaki Etxezarreta. He is a pop rock singer of Berriz (Biscay, Basque Country, Spain). His first demo, called ""Etxe"", was published in 2005. In 2007 published his first CD, ""Bidea Eginez"" (making way) and in 2009 came ""Heldu eskutik"" (take hold of the hand). His band is formed by Unai Uribek (guitar), Christian Martinek (bass) eta Lander Petralandak (drums). <a href=""https://www.last.fm/music/Etxe"">Read more on Last.fm</a>"
Txuma Murugarren,"After years as leader, composer and singer in the Basque rock band from Bizkaia Sasoi Ilunak, he started his solo career with an acoustic album of raw songs called “Nere leihoak”. He has now brought out his second work, “Hegazkinen arima” (Spirit of planes), a disc that is electric and rock at the same time and opens up wider possibilities. He has brought a group of quality musicians together around him under Rafa Rueda, achieving a modern rock. <a href=""https://www.last.fm/music/Txuma+Murugarren"">Read more on Last.fm</a>"
Javier Ojeda," <a href=""https://www.last.fm/music/Javier+Ojeda"">Read more on Last.fm</a>"
Etsaiak,"One of the most important Punk / Trash / Hardcore Basque bands during 90s. Lekeitio - Euskal herria.
https://www.facebook.com/etsaiaktaldea
http://www.discogs.com/artist/1449799
http://eu.wikipedia.org/wiki/Etsaiak
https://myspace.com/etsaiaktaldea
https://myspace.com/73054894
http://www.esanozenki.com/index.php/en/component/muscol/E/18-etsaiak

 <a href=""https://www.last.fm/music/Etsaiak"">Read more on Last.fm</a>"
Izeberg," <a href=""https://www.last.fm/music/izeberg"">Read more on Last.fm</a>"
Brioles," <a href=""https://www.last.fm/music/Brioles"">Read more on Last.fm</a>"
Destino 48," <a href=""https://www.last.fm/music/Destino+48"">Read more on Last.fm</a>"
Capsula,"There are two artists named Capsula. 

1. Capsula are a garage rock from Buenos Aires, Argentina, formed in 1997.
2. Yosi Shamay, Psychill music producer from Kfar Saba, Israel. known as enCAPSULAte since 2010. 


1. Capsula are a garage rock from Buenos Aires, Argentina, formed in 1997.
Capsula are a Bilbao, Spain, based band from Buenos Aires, Argentina formed in 1998 by a couple of Martin L Guevara and Coni Duchess. Their name is the Spanish word for capsule and derives from the David Bowie song ""Space Oddity"". <a href=""https://www.last.fm/music/Capsula"">Read more on Last.fm</a>"
Huecco,"Ivahn was the singer of ""Sugarless"", a Spanish hard rock band. In 2005 he moved to L.A. to record his first maxi single as singer. ""Huecco"" is the name of his new band. It sounds like a mix of rumba, reagge, rock, spanish sounds, samba, punk, hiphop and ska, which is called Rumbaton. He mixed flamenco guitars with electric ones to make riffs.
KC Porter (Santana, Fabulosos Cadillacs, Ricky Martin, Boyz II Men, Bon Jovi) produced his album and Thom Russo(SOAD, Audioslave, Michael Jackson) mixed it. <a href=""https://www.last.fm/music/Huecco"">Read more on Last.fm</a>"
Vinicio Capossela,"Vinicio Capossela is an Italian singer-songwriter born in Hannover (Germany) on December 14, 1965. He grew up in Reggio Emilia, where he studied music at the Conservatorio.

He has published one book (Non si muore tutte le mattine) and seven records, the last one being Da solo, released Friday October 17th, 2008.

His musical style is heavily influenced by Tom Waits and Paolo Conte. <a href=""https://www.last.fm/music/Vinicio+Capossela"">Read more on Last.fm</a>"
Atencion Tsunami," <a href=""https://www.last.fm/music/atencion+tsunami"">Read more on Last.fm</a>"
El Diluvi,"El #MestissatgeMediterrani, des de la comarca de l'Alcoià fins a tots els límits de l'immensitat terrenal.  <a href=""https://www.last.fm/music/El+Diluvi"">Read more on Last.fm</a>"
Pokers," <a href=""https://www.last.fm/music/Pokers"">Read more on Last.fm</a>"
Texxcoco," <a href=""https://www.last.fm/music/Texxcoco"">Read more on Last.fm</a>"
Adrià Puntí,"Adrià Puntí is a Catalan composer and songwriter from Girona. He was the leading singer of Umpah-pah one of the first successful groups of the ""Rock Catala"" in the early 1990s. The first two albums of the group (""Raons de pes"" -1991- and ""Bamboo Avenue"" -1992-) were fresh and unconventional including songs (""La catximba"", ""Carta a Donosti"", ...) which become well known thanks to their characteristic long & complex lyrics played/sang with a very singular interpretative style. <a href=""https://www.last.fm/music/+noredirect/Adri%C3%A0+Punt%C3%AD"">Read more on Last.fm</a>"
Ivette Nadal,"Ivette Nadal is a Catalan singer-songwriter and poet, she was born in Granollers, Catalonia in 1988. She has released four albums, Guerres dolcíssimes, A l'esquena d'un elefant, Mestres i amics and Tornar a mare. <a href=""https://www.last.fm/music/Ivette+Nadal"">Read more on Last.fm</a>"
Jane's Addiction,"Jane's Addiction are an American alternative rock band from Los Angeles, formed in 1985. The band consists of vocalist Perry Farrell, guitarist Dave Navarro, drummer Stephen Perkins and bassist Eric Avery.

Founded by Farrell and original bass guitarist Eric Avery, following the disintegration of Farrell's previous band Psi Com, Jane's Addiction was one of the first bands from the early 1990s alternative rock movement to gain both mainstream media attention and commercial success in the United States. <a href=""https://www.last.fm/music/Jane%27s+Addiction"">Read more on Last.fm</a>"
La Gossa Sorda,"La Gossa Sorda, translated as ""The Deaf Dog""(referring to a female dog), is a music band from Pego, Valencian Country. Their music is a mixture of rock, punk, reggae and ska. Their lyrics, in catalan, are a hard social critic against the right-winged establishment, seething for a change of mind and political status of their country.

The band, which was formed at the beginnings of 1999, started touring the Catalan Countries after they released ''Vigila'', playing in the ''Rebrot'' festival, in 2003. <a href=""https://www.last.fm/music/La+Gossa+Sorda"">Read more on Last.fm</a>"
Roger Usart," <a href=""https://www.last.fm/music/Roger+Usart"">Read more on Last.fm</a>"
Jacobo Serra," <a href=""https://www.last.fm/music/Jacobo+Serra"">Read more on Last.fm</a>"
Kokein," <a href=""https://www.last.fm/music/Kokein"">Read more on Last.fm</a>"
